"Start Time","End Time","Text","Layer ID"
"00:00:00:02","00:00:05:10","Welcome to the Blue Point Art archiveand to Living Heritage","1"
"00:00:06:01","00:00:09:01","remediating through video poetry.","1"
"00:00:09:16","00:00:13:15","You are now entering the archival versionof an exhibition presented from","1"
"00:00:13:15","00:00:19:18","19 to 20 7th November 2025,both at the Gallery of the Faculty of Fine","1"
"00:00:19:18","00:00:23:06","Arts of the University of Lisbon,and in spatial.","1"
"00:00:23:18","00:00:27:04","In this galleryyou will encounter three video","1"
"00:00:27:04","00:00:30:09","poems, each lasting around five minutes.","1"
"00:00:31:00","00:00:34:11","The works are based on textsby Stanislaw Młodożeniec,","1"
"00:00:35:03","00:00:39:24","Stanislaw Vincenzand Fernando Pessoa with his heteronyms.","1"
"00:00:40:14","00:00:44:06","Each video poem is accompanied by a shortdescription.","1"
"00:00:44:16","00:00:48:23","You can also open the sidebar to findfurther information about the exhibition.","1"
"00:00:49:00","00:00:52:05","Read the curatorial text and download","1"
"00:00:52:05","00:00:55:15","a PDF version of the exhibition materials.","1"
"00:00:56:03","00:00:59:06","A working Englishtranslation of the text used in One","1"
"00:00:59:06","00:01:02:10","Earth is also available there, along","1"
"00:01:02:10","00:01:06:12","with further information about the authorswhose works are reimagined in the video.","1"
"00:01:06:12","00:01:07:21","Poems.","1"
"00:01:07:21","00:01:12:04","This exhibition invites you into a journeythrough literary heritage,","1"
"00:01:12:08","00:01:16:20","reimagined through image,sound, rhythm and voice.","1"
"00:01:17:04","00:01:22:12","Here, the video poem becomes a mediumthrough which poetry can be revisited,","1"
"00:01:22:14","00:01:26:05","reinterpreted and experienced in new ways.","1"
"00:01:26:17","00:01:31:03","You are welcome to move through the spaceat your own pace, and begin","1"
"00:01:31:03","00:01:33:20","with any of the works around you.","1"
"00:01:33:20","00:01:38:20","Thank you for visiting and we hope you enjoy your journey through living heritage.","1"
